nome_posto,combustivel,endereco,bairro,data_coleta,valor
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-02,6.09
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-04,6.09
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-07,6.09
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-13,6.59
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-18,6.59
"Posto Atlântica",Diesel,"R. das Acerolas","Morada de Laranjeiras",2026-03-25,6.79
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-02,4.89
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-04,4.89
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-07,4.89
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-13,4.89
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-18,4.89
"Posto Atlântica",Etanol,"R. das Acerolas","Morada de Laranjeiras",2026-03-25,4.99
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-02,5.97
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-04,5.97
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-07,5.97
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-13,6.59
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-18,6.59
"Posto Atlântica",Gasolina,"R. das Acerolas","Morada de Laranjeiras",2026-03-25,6.45
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-02,5.97
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-04,5.97
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-07,5.97
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-13,6.59
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-18,6.59
"Posto Atlântica","Gasolina Aditivada","R. das Acerolas","Morada de Laranjeiras",2026-03-25,6.45
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-02,6.05
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-04,6.05
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-07,6.05
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-13,6.59
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-18,6.79
"Posto Ipiranga Morada",Diesel,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-25,6.87
"Posto Ipiranga Morada",Etanol,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-02,4.89
"Posto Ipiranga Morada",Etanol,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-04,4.89
"Posto Ipiranga Morada",Etanol,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-07,4.89
"Posto Ipiranga Morada",Etanol,"Av. Paulo Pereira Gomes, 2272","Laranjeiras II",2026-03-13,4.99
